id,values,provinsi,tahun,dimensi,data_title
52006288101210,64.25,NUSA TENGGARA BARAT,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
53006288071170,72.66,NUSA TENGGARA TIMUR,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
53006288071210,77.47,NUSA TENGGARA TIMUR,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
53006288081170,61.22,NUSA TENGGARA TIMUR,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
53006288081210,55.67,NUSA TENGGARA TIMUR,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
53006288091170,64.02,NUSA TENGGARA TIMUR,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
53006288091210,60.59,NUSA TENGGARA TIMUR,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
53006288101170,65.23,NUSA TENGGARA TIMUR,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
53006288101210,63.14,NUSA TENGGARA TIMUR,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
61006288071170,76.36,KALIMANTAN BARAT,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
61006288071210,80.17,KALIMANTAN BARAT,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
61006288081170,62.7,KALIMANTAN BARAT,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
61006288081210,59.87,KALIMANTAN BARAT,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
61006288091170,66.24,KALIMANTAN BARAT,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
61006288091210,65.82,KALIMANTAN BARAT,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
61006288101170,67.55,KALIMANTAN BARAT,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
61006288101210,67.34,KALIMANTAN BARAT,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
62006288071170,74.92,KALIMANTAN TENGAH,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
62006288071210,79.35,KALIMANTAN TENGAH,2021,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
62006288081170,66.2,KALIMANTAN TENGAH,2017,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
62006288081210,61.36,KALIMANTAN TENGAH,2021,Perasaan Tidak Khawatir/Cemas,Dimensi Afeksi Indeks Kebahagiaan
62006288091170,69.04,KALIMANTAN TENGAH,2017,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
62006288091210,68.39,KALIMANTAN TENGAH,2021,Perasaan Tidak Tertekan,Dimensi Afeksi Indeks Kebahagiaan
62006288101170,69.52,KALIMANTAN TENGAH,2017,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
62006288101210,68.63,KALIMANTAN TENGAH,2021,Dimensi Afeksi (Total),Dimensi Afeksi Indeks Kebahagiaan
63006288071170,77.79,KALIMANTAN SELATAN,2017,Perasaan Senang/Riang/Gembira,Dimensi Afeksi Indeks Kebahagiaan
