id,values,provinsi,jenjang,tahun,data_title
1400198016721170,94.76,RIAU,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016721180,95.39,RIAU,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016721190,95.11,RIAU,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016721200,95.18,RIAU,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016721210,96.91,RIAU,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731150,76.54,RIAU,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731160,81.3,RIAU,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731170,85.37,RIAU,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731180,83.45,RIAU,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731190,84.97,RIAU,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731200,86.84,RIAU,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016731210,87.11,RIAU,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741150,57.28,RIAU,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741160,62.12,RIAU,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741170,61.9,RIAU,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741180,63.71,RIAU,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741190,58.78,RIAU,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741200,66.62,RIAU,SMA / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1400198016741210,68.94,RIAU,SMA / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721150,93.12,JAMBI,SD / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721160,95.93,JAMBI,SD / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721170,95.65,JAMBI,SD / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721180,94.62,JAMBI,SD / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721190,96.99,JAMBI,SD / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721200,95.34,JAMBI,SD / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016721210,98.54,JAMBI,SD / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731150,78.04,JAMBI,SMP / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731160,79.86,JAMBI,SMP / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731170,84.9,JAMBI,SMP / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731180,83.29,JAMBI,SMP / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731190,84.4,JAMBI,SMP / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731200,86.31,JAMBI,SMP / Sederajat,2020,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016731210,89.0,JAMBI,SMP / Sederajat,2021,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741150,49.05,JAMBI,SMA / Sederajat,2015,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741160,60.5,JAMBI,SMA / Sederajat,2016,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741170,58.27,JAMBI,SMA / Sederajat,2017,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741180,66.06,JAMBI,SMA / Sederajat,2018,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
1500198016741190,56.87,JAMBI,SMA / Sederajat,2019,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Provinsi
